"Reference","Value","LCSC Part","Datasheet","Footprint","Qty","DNP"
"BZ101","Buzzer","C391027","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121831_FUET-FUET-4020_C391027.pdf","LCSC:BUZ-SMD_L4.0-W4.0-P3.50-L","1",""
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C13,C14,C15,C16,C17,C32,C103,C104,C105,C106,C107,C108,C109,C110,D5,D101,J1,J101,R2,R3,R4,R6,R13,R14,R15,R16,R17,R18,R19,R20,R21,R23,R24,R25,R26,R27,R28,R29,R30,R31,R101,R102,R103,R104,R105,R106,R107,R109,R110,R111,R112,R116,R117,R118,TP1,TP2,TP5,TP6,TP7,TP8,TP11,TP12,TP16,TP17,TP18,TP19,TP20,TP21,TP105,U2,U5","-- mixed values --","","-- mixed values --","-- mixed values --","81",""
"C11","22u 10V","C86295","~","Capacitor_SMD:C_0603_1608Metric","1",""
"C18,C21,C22,C23,C24,C25,C26,C29,C30,C31","10u 100V","C576517","~","Capacitor_SMD:C_1210_3225Metric","10",""
"C101,C102","1u 25V","C52923","~","Capacitor_SMD:C_0402_1005Metric","2",""
"D1,D2,D102","B110WS","C7461125","https://www.lcsc.com/datasheet/lcsc_datasheet_2409302201_BORN-B110WS_C7461125.pdf","Diode_SMD:D_SOD-323","3",""
"D99","LED_ABGR","C389528","https://www.lcsc.com/datasheet/lcsc_datasheet_2409272202_MEIHUA-MHS110RGBCT_C389528.pdf","LCSC:LED-ARRAY-SMD_MHS110FRGBCT","1",""
"J2,J4","-- mixed values --","C431092","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Changzhou-Amass-Elec-XT30PW-M30-G-Y_C431092.pdf","Connector_AMASS:AMASS_XT30PW-M_1x02_P2.50mm_Horizontal","2",""
"J102","ST7789 LCD","C5213730","~","LCSC:FPC-SMD_8P-P0.50_HCTL_HC-FPC-05-10-8RLTAG","1",""
"J104","Expansion","C2881826","~","Connector_PinSocket_1.27mm:PinSocket_2x06_P1.27mm_Horizontal","1",""
"L1","3.3uH 4-5mOhm","C2976964","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121459_SXN-Shun-Xiang-Nuo-Elec-SMMS1770-3R3M_C2976964.pdf","Inductor_SMD:L_Chilisin_BMRF00171770","1",""
"L2","22uH <250mOhm","C718383","https://www.lcsc.com/datasheet/lcsc_datasheet_2409271302_YJYCOIN-YSPI0530-220M_C718383.pdf","Inductor_SMD:L_Sunlord_MWSA0503S","1",""
"Q1,Q2,Q3,Q4","100V 50A","C534678","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121807_Infineon-Technologies-BSZ070N08LS5_C534678.pdf","Package_SON:Diodes_PowerDI3333-8","4",""
"Q101","AO3400A","C347475","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121838_Alpha---Omega-Semicon-AO3400A_C20917.pdf","Package_TO_SOT_SMD:SOT-23","1",""
"R1","5m","C7420039","~","Resistor_SMD:R_1206_3216Metric","1",""
"R5","5m","C843878","~","Resistor_SMD:R_1020_2550Metric_Pad1.33x5.20mm_HandSolder","1",""
"SW1","SW_Reverse","C2681570","","LCSC:SW-SMD_MSK12CO2","1",""
"SW2,SW3,SW103,SW104","-- mixed values --","C256107","~","LCSC:SW-SMD_4P-L3.0-W2.0-P0.85-LS3.5","4",""
"SW101","SIQ-02FVS3","C2925423","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121822_Mitsumi-Electric-SIQ-02FVS3_C2925423.pdf","LeoDJ-kicad:SW-SMD_SIQ-02FVS3_1","1",""
"SW102","SW_Back","C393942","~","LCSC:SW-SMD_TS24CA","1",""
"TH1","10k","C77131","~","Resistor_SMD:R_0402_1005Metric","1",""
"U1,U101","CH32X035G8U6","C7437027","https://www.lcsc.com/datasheet/lcsc_datasheet_2404070952_WCH-Jiangsu-Qin-Heng-CH32X035G8U6_C7437027.pdf","Package_DFN_QFN:QFN-28-1EP_4x4mm_P0.4mm_EP2.6x2.6mm","2",""
"U4","LMR51610XDBVR","C20539658","https://www.ti.com/lit/ds/symlink/lmr51610.pdf","Package_TO_SOT_SMD:SOT-23-6","1",""
"U6,U7,U103","TPS22915CYFPR","C1849498","https://www.ti.com/lit/ds/symlink/tps22915.pdf","Package_BGA:Texas_PicoStar_BGA-4_0.758x0.758mm_Layout2x2_P0.4mm","3",""
"U102","AP2112K-3.3","C51118","https://www.diodes.com/assets/Datasheets/AP2112.pdf","Package_TO_SOT_SMD:SOT-23-5","1",""
"U104","SIT3088ETK","C601076","https://www.lcsc.com/datasheet/lcsc_datasheet_2410091412_SIT-SIT3088ETK_C601076.pdf","Package_DFN_QFN:DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm","1",""
"U105","LIS3DH","C15134","https://www.st.com/resource/en/datasheet/cd00274221.pdf","Package_LGA:LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y","1",""
