Comment,Designator,Footprint,LCSC
LIS3DH,U105,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,C15134
TPS22915CYFPR,"U103,U6,U7",Texas_PicoStar_BGA-4_0.758x0.758mm_Layout2x2_P0.4mm,C1849498
LMR51610XDBVR,U4,SOT-23-6,C20539658
Reset,"SW103,SW104,SW2,SW3",SW-SMD_4P-L3.0-W2.0-P0.85-LS3.5,C256107
SW_Reverse,SW1,SW-SMD_MSK12CO2,C2681570
Expansion,J104,PinSocket_2x06_P1.27mm_Horizontal,C2881826
SIQ-02FVS3,SW101,SW-SMD_SIQ-02FVS3_1,C2925423
3.3uH 4-5mOhm,L1,L_Chilisin_BMRF00171770,C2976964
AO3400A,Q101,SOT-23,C347475
LED_ABGR,D99,LED-ARRAY-SMD_MHS110FRGBCT,C389528
Buzzer,BZ101,BUZ-SMD_L4.0-W4.0-P3.50-L,C391027
SW_Back,SW102,SW-SMD_TS24CA,C393942
VIN,J4,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,C431092
AP2112K-3.3,U102,SOT-23-5,C51118
ST7789 LCD,J102,FPC-SMD_8P-P0.50_HCTL_HC-FPC-05-10-8RLTAG,C5213730
100V 50A,"Q1,Q2,Q3,Q4",Diodes_PowerDI3333-8,C534678
10u 100V,"C18,C21,C22,C23,C24,C25,C26,C29,C30,C31",C_1210_3225Metric,C576517
SIT3088ETK,U104,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,C601076
22uH <250mOhm,L2,L_Sunlord_MWSA0503S,C718383
5m,R1,R_1206_3216Metric,C7420039
CH32X035G8U6,"U1,U101",QFN-28-1EP_4x4mm_P0.4mm_EP2.6x2.6mm,C7437027
B110WS,"D1,D102,D2",D_SOD-323,C7461125
10k,TH1,R_0402_1005Metric,C77131
