Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ101,Buzzer,BUZ-SMD_L4.0-W4.0-P3.50-L,127.45,-125.45,0.0,top
C18,10u 100V,C_1210_3225Metric,118.325,-84.75,-90.0,top
C21,10u 100V,C_1210_3225Metric,121.5,-80.125,90.0,top
C22,10u 100V,C_1210_3225Metric,118.3,-80.125,90.0,top
C23,10u 100V,C_1210_3225Metric,115.1,-80.125,90.0,top
C24,10u 100V,C_1210_3225Metric,146.4,-97.2,180.0,top
C25,10u 100V,C_1210_3225Metric,148.0,-80.25,90.0,top
C26,10u 100V,C_1210_3225Metric,144.8,-80.25,90.0,top
C29,10u 100V,C_1210_3225Metric,115.125,-84.725,-90.0,top
C30,10u 100V,C_1210_3225Metric,146.4,-94.0,180.0,top
C31,10u 100V,C_1210_3225Metric,121.5,-84.75,-90.0,top
D1,B110WS,D_SOD-323,120.35,-88.95,0.0,top
D102,B110WS,D_SOD-323,128.0,-122.45,0.0,top
D2,B110WS,D_SOD-323,123.5,-88.95,180.0,top
D99,LED_ABGR,LED-ARRAY-SMD_MHS110FRGBCT,101.175,-96.45,90.0,top
J102,ST7789 LCD,FPC-SMD_8P-P0.50_HCTL_HC-FPC-05-10-8RLTAG,123.775,-112.2,90.0,top
J104,Expansion,PinSocket_2x06_P1.27mm_Horizontal,146.735,-122.4,180.0,top
J4,VIN,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,107.275,-109.25,90.0,top
L1,3.3uH 4-5mOhm,L_Chilisin_BMRF00171770,134.45,-91.8,0.0,top
L2,22uH <250mOhm,L_Sunlord_MWSA0503S,110.65,-80.9625,90.0,top
Q1,100V 50A,Diodes_PowerDI3333-8,127.5825,-80.9575,90.0,top
Q101,AO3400A,SOT-23,128.55,-119.55,-90.0,top
Q2,100V 50A,Diodes_PowerDI3333-8,131.97,-80.965,90.0,top
Q3,100V 50A,Diodes_PowerDI3333-8,141.0,-80.95,270.0,top
Q4,100V 50A,Diodes_PowerDI3333-8,136.65,-80.95,270.0,top
R1,5m,R_1206_3216Metric,111.25,-85.35,0.0,top
SW1,SW_Reverse,SW-SMD_MSK12CO2,102.725,-89.2,90.0,bottom
SW101,SIQ-02FVS3,SW-SMD_SIQ-02FVS3_1,137.3,-120.512392,180.0,top
SW102,SW_Back,SW-SMD_TS24CA,121.65,-126.045,180.0,top
SW103,Reset,SW-SMD_4P-L3.0-W2.0-P0.85-LS3.5,103.1,-124.0,180.0,top
SW104,Boot,SW-SMD_4P-L3.0-W2.0-P0.85-LS3.5,103.1,-126.45,0.0,top
SW2,Boot,SW-SMD_4P-L3.0-W2.0-P0.85-LS3.5,110.1,-99.5,180.0,top
SW3,Reset,SW-SMD_4P-L3.0-W2.0-P0.85-LS3.5,102.65,-99.4,0.0,top
TH1,10k,R_0402_1005Metric,124.55,-85.25,90.0,top
U1,CH32X035G8U6,QFN-28-1EP_4x4mm_P0.4mm_EP2.6x2.6mm,111.6,-94.5,315.0,top
U101,CH32X035G8U6,QFN-28-1EP_4x4mm_P0.4mm_EP2.6x2.6mm,117.75,-106.9,0.0,top
U102,AP2112K-3.3,SOT-23-5,127.85,-105.5875,0.0,top
U103,TPS22915CYFPR,Texas_PicoStar_BGA-4_0.758x0.758mm_Layout2x2_P0.4mm,127.15,-108.6,90.0,top
U104,SIT3088ETK,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,131.05,-109.825,270.0,top
U105,LIS3DH,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,123.8,-119.8,0.0,top
U4,LMR51610XDBVR,SOT-23-6,105.1125,-81.8125,180.0,top
U6,TPS22915CYFPR,Texas_PicoStar_BGA-4_0.758x0.758mm_Layout2x2_P0.4mm,114.2,-90.225,-90.0,top
U7,TPS22915CYFPR,Texas_PicoStar_BGA-4_0.758x0.758mm_Layout2x2_P0.4mm,114.2,-88.6375,-90.0,top
